    3   16   25    1    3     /LITHIUM            /GCR PROJECT      
--------------------------------------------------------------------------------
    1    2    1    1                                                            
--------------------------------------------------------------------------------
   8.00000   8.69897   9.00000   9.69897  10.00000  10.69897  11.00000  11.69897
  12.00000  12.69897  13.00000  13.69897  14.00000  14.69897  15.00000  15.69897
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.47732   0.69917   0.84530
   1.00020   1.30123   1.47732   1.60226   1.69917   1.77835   1.84530   1.95444
   2.00020   2.47732   2.69917   2.84530   3.00020   3.47732   3.69917   3.84530
   4.00020
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 11/11/02
 -28.97637 -28.97637 -28.97637 -28.97637 -28.97637 -28.97638 -28.97637 -28.97720
 -28.97822 -28.98349 -28.98996 -29.05263 -29.10058 -29.53014 -29.61103 -28.91206
 -27.58581 -27.58581 -27.58581 -27.58581 -27.58581 -27.58580 -27.58581 -27.58656
 -27.58741 -27.59440 -27.60136 -27.66718 -27.72045 -28.16756 -28.25367 -27.55470
 -26.46031 -26.46031 -26.46031 -26.46031 -26.46031 -26.46031 -26.46030 -26.46133
 -26.46240 -26.46943 -26.47732 -26.54837 -26.60811 -27.07992 -27.17306 -26.47409
 -25.95926 -25.95926 -25.95926 -25.95926 -25.95926 -25.95922 -25.95928 -25.95946
 -25.95974 -25.96801 -25.97542 -26.05356 -26.12012 -26.62154 -26.72240 -26.02343
 -25.56716 -25.56716 -25.56716 -25.56716 -25.56716 -25.56708 -25.56707 -25.56734
 -25.56768 -25.57585 -25.58469 -25.67796 -25.75832 -26.30375 -26.41543 -25.71646
 -24.89534 -24.89534 -24.89534 -24.89533 -24.89534 -24.89531 -24.89521 -24.89769
 -24.89994 -24.91348 -24.93610 -25.11107 -25.25427 -25.93171 -26.06583 -25.36686
 -24.73846 -24.73846 -24.73846 -24.73844 -24.73846 -24.73820 -24.73848 -24.74189
 -24.74321 -24.76323 -24.79015 -25.00758 -25.17359 -25.88803 -26.02795 -25.32898
 -24.66913 -24.66913 -24.66913 -24.66912 -24.66913 -24.66906 -24.66912 -24.67125
 -24.67394 -24.69739 -24.72928 -24.97355 -25.15206 -25.88371 -26.02555 -25.32658
 -24.62159 -24.62159 -24.62159 -24.62160 -24.62159 -24.62165 -24.62159 -24.62362
