   74    5   35    1   74     /TUNGSTEN           /PUETTERICH ET AL            
--------------------------------------------------------------------------------
  11.00000  12.00000  13.00000  14.00000  15.00000
   0.00000   0.13535   0.27071   0.40606   0.54142   0.67677   0.81213   0.94748
   1.08284   1.21819   1.35355   1.48890   1.62426   1.75961   1.89497   2.03032
   2.16568   2.30103   2.43638   2.57174   2.70709   2.84245   2.97780   3.11316
   3.24851   3.38387   3.51922   3.65458   3.78993   3.92529   4.06064   4.19600
   4.33135   4.46671   4.60206
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= DD/MM/YY  
 -10.22985 -10.22985 -10.22985 -10.22985 -10.22985
  -9.28565  -9.28565  -9.28565  -9.28565  -9.28565
  -8.52594  -8.52594  -8.52594  -8.52594  -8.52594
  -7.98710  -7.98710  -7.98710  -7.98710  -7.98710
  -7.57162  -7.57162  -7.57162  -7.57162  -7.57162
  -7.25042  -7.25042  -7.25042  -7.25042  -7.25042
  -7.00689  -7.00689  -7.00689  -7.00689  -7.00689
  -6.81839  -6.81839  -6.81839  -6.81839  -6.81839
  -6.67140  -6.67140  -6.67140  -6.67140  -6.67140
  -6.55747  -6.55747  -6.55747  -6.55747  -6.55747
  -6.47084  -6.47084  -6.47084  -6.47084  -6.47084
  -6.40584  -6.40584  -6.40584  -6.40584  -6.40584
  -6.35999  -6.35999  -6.35999  -6.35999  -6.35999
  -6.33333  -6.33333  -6.33333  -6.33333  -6.33333
  -6.31941  -6.31941  -6.31941  -6.31941  -6.31941
  -6.31425  -6.31425  -6.31425  -6.31425  -6.31425
  -6.31908  -6.31908  -6.31908  -6.31908  -6.31908
  -6.33277  -6.33277  -6.33277  -6.33277  -6.33277
  -6.35318  -6.35318  -6.35318  -6.35318  -6.35318
  -6.37835  -6.37835  -6.37835  -6.37835  -6.37835
  -6.40835  -6.40835  -6.40835  -6.40835  -6.40835
  -6.44299  -6.44299  -6.44299  -6.44299  -6.44299
