    3   16   25    1    3     /LITHIUM            /GCR PROJECT      
--------------------------------------------------------------------------------
    1    2    1    1                                                            
--------------------------------------------------------------------------------
   8.00000   8.69897   9.00000   9.69897  10.00000  10.69897  11.00000  11.69897
  12.00000  12.69897  13.00000  13.69897  14.00000  14.69897  15.00000  15.69897
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.47732   0.69917   0.84530
   1.00020   1.30123   1.47732   1.60226   1.69917   1.77835   1.84530   1.95444
   2.00020   2.47732   2.69917   2.84530   3.00020   3.47732   3.69917   3.84530
   4.00020
---------------------/ IPRT= 2  / JPRT= 1  /--------/ Z1= 1   / DATE= 11/11/02
 -11.29280 -10.95610 -10.83068 -10.57314 -10.47064 -10.24770 -10.15534  -9.94456
  -9.85284  -9.63413  -9.53627  -9.29540  -9.17955  -8.92532  -8.74694  -8.04797
 -11.57462 -11.23125 -11.10437 -10.84415 -10.74151 -10.52193 -10.43148 -10.22612
 -10.13861  -9.93435  -9.84355  -9.62811  -9.52552  -9.32004  -9.15863  -8.45966
 -11.93098 -11.57739 -11.44755 -11.18365 -11.08186 -10.86267 -10.77219 -10.57369
 -10.48829 -10.29375 -10.20915 -10.01333  -9.92128  -9.75636  -9.60965  -8.91068
 -12.16697 -11.80641 -11.67400 -11.40798 -11.30486 -11.08452 -10.99505 -10.79732
 -10.71333 -10.52362 -10.44117 -10.25292 -10.16521 -10.01861  -9.87856  -9.17959
 -12.41888 -12.05320 -11.91734 -11.64543 -11.54112 -11.32116 -11.23166 -11.03198
 -10.94960 -10.76279 -10.68093 -10.49918 -10.41493 -10.28043 -10.14639  -9.44742
 -13.18844 -12.82203 -12.67875 -12.39036 -12.28128 -12.05172 -11.95977 -11.76014
 -11.67593 -11.48671 -11.40760 -11.23090 -11.15043 -11.03760 -10.91055 -10.21158
 -13.53743 -13.18279 -13.03679 -12.74046 -12.62866 -12.39650 -12.30334 -12.10015
 -12.01588 -11.82492 -11.74477 -11.56816 -11.48817 -11.37754 -11.25340 -10.55443
 -13.76269 -13.42083 -13.27459 -12.97251 -12.85943 -12.62477 -12.53031 -12.32492
 -12.23960 -12.04919 -11.96862 -11.79111 -11.71083 -11.60089 -11.47658 -10.77761
 -13.99675 -13.67281 -13.52664 -13.22105 -13.10610 -12.86752 -12.77273 -12.56475
