* taken from carre_105500_3500_hr, 09122010, SL
* based on vessel_wall2.dat
*   removing the tiny step at the entrance to the lower plenum because it's 
*   causing a problem for equilibirum g123417.03500.x2.equ
* now
*   removing the upper, inner pump entrance, which is causing problems for
*   g146198.03010.x8.equ
* smoothing out the dome in the upper divertor
* 167196 - removing pumping ducts upper and lower and cleaning up end of shelf/wall interface
* adding the extended lower shelf
      0.95         0.0
      0.95	   1.1
      1.01200      1.16240    *snip* 1.01200      1.16500   removing upper, inner pump entrance
      1.0420	   1.1624            1.00100      1.21700
      1.0460	   1.1624	     1.02900      1.21700
      1.0560	   1.1625                 
      1.0970	   1.1646                 
      1.1160	   1.1659      
      1.1340	   1.1690      
      1.1480	   1.1718      
      1.1620	   1.1756      
      1.1800	   1.1820      
      1.1950	   1.1910      
      1.2090	   1.2020      
      1.2220	   1.2140      
      1.2350	   1.2310      
      1.2480	   1.2540      
      1.2570	   1.2780      
      1.2620	   1.2900      
      1.2800	   1.3310      
      1.2800	   1.3470      
      1.2800	   1.3480      
      1.5000	   1.3480       NEW DOME - END   
      2.07000      1.04000  *snip*  1.32800      1.34800 *remove upper pump duct     
      2.12800     0.993000          1.36100      1.34800  			     
      2.24500     0.709000          1.38000      1.34800			     
      2.32300     0.519000          1.41900      1.34800			     
      2.37700     0.389000          1.41900      1.31000                             
      2.35200     0.400000          1.37200      1.31000			     
      2.35100     0.337000          1.37200      1.29200			     
      2.35100     0.205000          1.60800      1.09500    			     
      2.35400    0.0680000  	    1.64700      1.07700			     
      2.35400      0.00000  	    1.78500      1.07700                             
      2.35400   -0.0680000
      2.35300    -0.205000
      2.35100    -0.337000
      2.35300    -0.399900
      2.37700    -0.389000
      2.13400    -0.973000
      1.7680	-1.2501    *snip* 1.78600     -1.17400 
      1.6820	-1.2501	     	  1.7680	-1.2110	   
      1.6500	-1.2501	  
      1.6000	-1.2501	   NEW SHELF									      
      1.5500	-1.2501	   need to go from -1.2500 to -1.2501 to avoid a strange double intersection problem
      1.5000	-1.2501	   debug later...                                                                   
      1.4500	-1.2501	  
      1.4050	-1.2501	  
      1.3925	-1.2530	  
      1.3800	-1.2600	  
      1.3740	-1.2745	  
      1.3720	-1.2890	  
      1.3720	-1.3090	  
      1.3720	-1.3290	  
      1.3720	-1.3630    *added point*
      1.3600	-1.3630	   *snip*     1.3900	-1.3290  *lower pumping duct*
      1.3400	-1.3630	  	      1.4200	-1.3290
      1.3200	-1.3630	  	      1.4200	-1.3630
      1.3000	-1.3630	  	      1.4000	-1.3630
      1.2800	-1.3630	  	      1.3800	-1.3630
      1.2730	-1.3630	  
      1.2000	-1.3630	  
      1.1530	-1.3630	  
      1.01600     -1.22900
      0.95        -1.0
      0.95         0.0


